ID D  D  D  S S S L L L A A A W
1  17 2  3  0 0 0 0 0 0 1 5 5 0
2  18 21 11 0 0 0 3 2 0 2 0 2 0
3  17 9  7  0 0 0 5 0 4 1 3 1 0
4  8  14 4  0 0 1 1 5 1 0 1 2 0
5  27 21 8  0 0 0 0 0 1 0 0 0 0
6  5  4  4  0 0 1 1 2 0 1 3 2 0
7  11 6  9  0 0 0 4 3 2 0 3 1 0
8  1  0  0  0 0 0 0 0 0 6 6 6 0
9  6  2  6  0 0 0 0 2 0 0 4 0 0
10 5  1  6  0 0 0 1 0 0 1 6 1 0
11 8  12 12 0 0 0 3 0 1 3 3 0 0
12 4  11 6  0 0 0 0 0 2 2 1 0 0
13 11 14 6  0 1 1 1 0 1 2 1 2 0
14 5  5  4  0 0 1 3 0 0 1 1 2 0
15 6  6  5  0 0 0 2 1 0 0 1 1 0
16 4  5  6  0 0 0 1 0 1 2 1 0 0
17 5  4  7  0 0 0 0 0 2 2 4 2 0
18 0  4  6  0 0 0 0 2 2 6 2 1 0
19 4  4  0  0 0 0 0 1 0 2 3 6 0
20 5  5  5  0 0 0 0 2 3 1 1 1 0
21 6  6  4  0 0 0 5 2 0 0 0 2 0
22 3  9  1  0 0 0 2 1 0 4 1 6 0
23 7  4  4  0 0 0 0 1 2 1 3 3 0
24 21 13 9  0 0 0 0 0 1 0 2 3 0
25 5  4  3  0 0 1 3 0 1 2 3 5 0
26 6  6  5  0 0 1 0 0 1 1 1 2 0
27 8  9  7  0 0 0 3 3 4 1 2 1 0
28 20 16 14 0 0 0 2 0 1 1 0 2 0
29 5  6  5  0 0 0 1 1 1 2 1 2 0
30 5  7  1  0 0 1 2 0 0 2 4 6 0
31 7  5  7  0 0 0 0 0 0 1 2 2 0
32 5  7  4  0 0 3 5 0 1 2 0 3 0
33 4  2  2  0 0 0 0 0 1 3 5 5 0
34 14 19 8  0 0 0 1 0 0 0 0 1 0
35 9  9  4  0 0 1 2 0 3 0 0 1 0
36 2  0  0  0 1 2 1 0 0 3 5 5 0
37 15 0  0  0 0 0 0 0 0 0 5 5 0
38 10 5  2  0 0 2 0 0 2 2 2 3 0
39 5  6  4  0 0 0 1 0 0 0 0 1 0
40 4  4  2  0 0 1 0 0 0 1 1 3 0
41 5  5  3  0 0 1 1 0 3 0 0 2 0
42 3  4  2  0 1 3 0 2 2 2 1 3 0
43 3  14 4  0 0 0 0 0 2 2 1 1 0
44 5  4  3  0 1 3 0 0 0 0 1 4 0
45 2  3  0  0 0 0 0 1 0 5 2 5 0
46 7  13 6  0 0 1 0 1 2 0 0 2 0
47 1  0  1  0 0 0 1 0 0 4 5 4 0
